step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
7900,-715.29931640625,-905.8372802734375,507.0,173.517578125,-342.85357666015625,-413.29119873046875,348.5172424316406
8000,-28.58223533630371,-19.7015438079834,129.0,173.51882934570312,-327.1399841308594,-393.6117248535156,337.5413818359375
8100,-127.60179138183594,-128.57289123535156,178.0,173.5189971923828,-326.7531433105469,-395.94366455078125,338.611083984375
8200,-283.4751892089844,-314.3761901855469,280.0,173.5189971923828,-324.5892639160156,-391.86529541015625,335.6805419921875
8300,-503.35638427734375,-670.848388671875,477.0,173.5189971923828,-333.5276184082031,-405.814453125,342.74652099609375
8400,-8.796565055847168,-3.7245302200317383,121.0,173.51901245117188,-326.5039367675781,-399.7217102050781,339.4612121582031
8500,-546.0525512695312,-714.6558227539062,529.0,173.51901245117188,-337.48138427734375,-415.4684143066406,348.93817138671875
8600,-561.3087158203125,-751.51416015625,558.0,173.51901245117188,-348.6727600097656,-432.27069091796875,359.3912658691406
8700,-297.45367431640625,-354.233642578125,308.0,173.51901245117188,-339.87298583984375,-417.47198486328125,361.31561279296875
8800,-502.6899719238281,-624.7835083007812,475.0,173.51901245117188,-348.0138244628906,-427.8375549316406,366.99981689453125
8900,-20.462656021118164,-17.698579788208008,127.0,173.51901245117188,-327.59173583984375,-400.23101806640625,350.2973327636719
9000,89.089599609375,138.65267944335938,264.0,173.51901245117188,-306.7576904296875,-373.2868347167969,345.98248291015625
9100,36.654109954833984,45.24448776245117,92.0,173.51901245117188,-288.7923889160156,-350.8394470214844,341.443115234375
9200,-238.71450805664062,-289.2914733886719,279.0,173.51901245117188,-286.95428466796875,-347.0203552246094,336.7799072265625
9300,-140.8661346435547,-119.93417358398438,422.0,173.51901245117188,-279.6498718261719,-335.6660461425781,341.0408935546875
9400,111.59220123291016,173.57791137695312,249.0,173.51901245117188,-260.0877685546875,-310.2038269042969,336.4388427734375
9500,-351.8407287597656,-385.1786193847656,339.0,173.51902770996094,-241.23553466796875,-287.28704833984375,327.73638916015625
9600,-119.45513916015625,-120.44625091552734,190.0,173.51902770996094,-215.28549194335938,-254.779052734375,302.3584899902344
9700,-393.6404724121094,-434.21246337890625,352.0,173.51902770996094,-225.1656951904297,-263.9220275878906,302.8285217285156
9800,-570.5245971679688,-702.7864379882812,509.0,173.51902770996094,-242.4336395263672,-285.865234375,313.1371154785156
9900,-358.61773681640625,-389.3262023925781,319.0,173.51902770996094,-248.2428436279297,-291.0382995605469,313.4302673339844
10000,-329.6379089355469,-319.63385009765625,531.0,173.51902770996094,-252.31259155273438,-292.46807861328125,324.3087463378906
10100,-529.8755493164062,-655.016845703125,461.0,173.51902770996094,-266.19073486328125,-310.59552001953125,331.143310546875
10200,51.549354553222656,60.13776779174805,73.0,173.51902770996094,-271.509765625,-320.376953125,326.6368408203125
10300,-12.443774223327637,-1.214646577835083,328.0,173.51902770996094,-248.41094970703125,-291.60894775390625,317.4597473144531
10400,156.75511169433594,171.57284545898438,235.0,173.51902770996094,-224.84466552734375,-264.545166015625,309.22991943359375
10500,237.27099609375,288.3313903808594,166.0,173.51902770996094,-182.7279510498047,-213.34080505371094,297.0224914550781
10600,-582.7412719726562,-751.4862060546875,558.0,173.51902770996094,-202.72860717773438,-240.24807739257812,310.0713806152344
10700,-140.71815490722656,-246.86024475097656,477.0,173.51902770996094,-199.62808227539062,-240.5786895751953,318.4178161621094
10800,38.35856246948242,46.19267272949219,87.0,195.10096740722656,-204.58013916015625,-247.5317840576172,315.23455810546875
10900,9.054741859436035,17.245508193969727,104.0,267.3037109375,-195.9078369140625,-236.39378356933594,313.5917053222656
11000,89.0933609008789,92.09980773925781,53.0,356.6775207519531,-164.12271118164062,-196.687255859375,278.6433410644531
11100,-165.084228515625,-249.93409729003906,460.0,372.494384765625,-164.17079162597656,-199.34959411621094,287.711181640625
11200,-174.95538330078125,-175.60369873046875,201.0,372.494384765625,-164.71002197265625,-198.16229248046875,283.3756103515625
11300,42.29518508911133,51.16468811035156,78.0,422.330322265625,-154.75901794433594,-186.41915893554688,267.14642333984375
11400,-241.9741973876953,-279.7676086425781,491.0,422.330322265625,-159.11978149414062,-191.0865936279297,278.339111328125
11500,-76.42283630371094,-19.98420524597168,367.0,437.3200378417969,-169.7115478515625,-198.81539916992188,289.88104248046875
11600,149.04226684570312,204.463134765625,214.0,437.3200378417969,-153.77386474609375,-178.65147399902344,286.08697509765625
11700,-46.327850341796875,0.6189073920249939,314.0,437.6680908203125,-148.4015655517578,-169.68795776367188,287.4826354980469
11800,-66.76469421386719,-57.701568603515625,139.0,447.7949523925781,-129.55032348632812,-150.54969787597656,270.6873779296875
11900,-164.6691131591797,-248.85520935058594,484.0,447.7949523925781,-131.3062744140625,-155.46498107910156,281.35302734375
12000,-219.46728515625,-230.2775115966797,264.0,447.7949523925781,-132.5081329345703,-152.82350158691406,284.2210998535156
12100,-146.8668670654297,-173.06475830078125,415.0,457.3269348144531,-133.22607421875,-153.83555603027344,290.7600402832031
12200,-146.4750518798828,-190.99192810058594,437.0,457.3269348144531,-133.88851928710938,-155.69337463378906,298.0720520019531
12300,-248.41627502441406,-266.2415771484375,276.0,457.3269348144531,-139.6149139404297,-161.2207794189453,296.96844482421875
12400,-130.4069366455078,-125.51700592041016,191.0,461.6451721191406,-137.2554168701172,-158.26963806152344,293.2261962890625
12500,-184.46527099609375,-183.52886962890625,209.0,461.6451721191406,-125.15001678466797,-141.30401611328125,284.8241271972656
12600,-135.3204345703125,-240.96009826660156,452.0,463.53936767578125,-125.65853881835938,-146.2868194580078,293.18292236328125
12700,-298.974609375,-343.5779724121094,555.0,463.53936767578125,-134.3243408203125,-156.15138244628906,306.2737731933594
12800,-261.583740234375,-270.8841857910156,482.0,463.53936767578125,-140.68731689453125,-161.8880157470703,315.0600891113281
12900,-534.2109985351562,-680.8512573242188,487.0,463.53936767578125,-160.36349487304688,-187.836181640625,323.6570739746094
13000,-49.641571044921875,-2.1996307373046875,337.0,488.4048156738281,-154.827392578125,-178.55435180664062,324.3242492675781
13100,-123.01053619384766,-109.91932678222656,412.0,488.4048156738281,-153.23655700683594,-175.1226043701172,328.7080078125
13200,129.38487243652344,131.0897979736328,38.0,499.9463195800781,-140.42994689941406,-161.9921112060547,319.0789794921875
13300,-28.545015335083008,-6.315313339233398,324.0,517.2399291992188,-141.55020141601562,-160.79844665527344,328.4888000488281
13400,-179.79171752929688,-190.91212463378906,449.0,517.2399291992188,-143.4622802734375,-162.3041229248047,334.51434326171875
13500,75.75287628173828,84.16364288330078,65.0,547.1860961914062,-135.4213104248047,-155.09178161621094,327.9967041015625
