step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
8100,-160.87681579589844,-161.52894592285156,199.0,161.08949279785156,-408.97552490234375,-504.51409912109375,394.4902038574219
8200,134.55926513671875,162.6386260986328,247.0,164.65415954589844,-371.75079345703125,-456.6673889160156,379.0649108886719
8300,-560.0327758789062,-695.7904663085938,502.0,164.65415954589844,-381.1648864746094,-468.62353515625,385.211669921875
8400,-514.8587036132812,-602.946044921875,457.0,165.20594787597656,-387.8495788574219,-475.33966064453125,388.80108642578125
8500,-185.04696655273438,-190.39825439453125,232.0,165.20594787597656,-377.5523986816406,-459.9891357421875,379.87799072265625
8600,-739.681884765625,-969.4743041992188,571.0,165.20594787597656,-395.65887451171875,-485.46337890625,389.43408203125
8700,-464.8098449707031,-577.914306640625,432.0,165.20594787597656,-392.4717712402344,-480.7239074707031,385.8892517089844
8800,-33.55305480957031,-25.74045753479004,123.0,165.36019897460938,-376.51751708984375,-458.7472839355469,373.55755615234375
8900,-554.5761108398438,-712.7066650390625,519.0,165.36019897460938,-385.4204406738281,-471.44525146484375,380.8296813964844
9000,-331.4693908691406,-299.6995849609375,527.0,165.36019897460938,-382.722900390625,-462.85797119140625,388.13818359375
9100,-471.96771240234375,-534.008056640625,408.0,165.36019897460938,-387.18511962890625,-466.41546630859375,389.13128662109375
9200,-249.89186096191406,-312.3243103027344,286.0,165.36019897460938,-380.3204650878906,-458.7109069824219,383.9747314453125
9300,-572.6925659179688,-750.526123046875,557.0,165.36019897460938,-389.9390869140625,-473.3016662597656,392.6259765625
9400,55.138607025146484,64.14576721191406,73.0,165.36019897460938,-336.03515625,-404.0318603515625,362.08734130859375
9500,51.17735290527344,59.18364334106445,78.0,165.40379333496094,-292.3658447265625,-350.41058349609375,339.5718688964844
9600,-218.2276153564453,-220.48997497558594,226.0,165.41651916503906,-288.658935546875,-343.91455078125,333.8932800292969
9700,-411.884765625,-464.1385803222656,378.0,165.82974243164062,-292.36444091796875,-344.217529296875,342.9911804199219
9800,-560.7208251953125,-693.805419921875,500.0,166.07191467285156,-305.78228759765625,-361.6969299316406,350.84161376953125
9900,-471.185791015625,-559.9830322265625,426.0,166.07191467285156,-314.0524597167969,-371.6112365722656,354.59954833984375
10000,-572.4105224609375,-716.7455444335938,523.0,166.07191467285156,-326.9703674316406,-388.8679504394531,363.0195617675781
10100,-532.2653198242188,-696.8760986328125,503.0,166.07191467285156,-337.235107421875,-404.2683410644531,370.0185852050781
10200,-1.9716105461120605,3.191647529602051,98.0,166.07191467285156,-332.06103515625,-398.5945129394531,363.5417785644531
10300,-420.9554443359375,-526.0878295898438,392.0,166.07191467285156,-336.5057678222656,-404.96917724609375,364.9646911621094
10400,-30.609729766845703,-37.70057678222656,131.0,166.07191467285156,-321.2109680175781,-386.6057434082031,353.2664489746094
10500,-101.86511993408203,-96.42327117919922,190.0,166.07191467285156,-302.1712646484375,-363.98187255859375,348.51031494140625
10600,-209.10662841796875,-250.91021728515625,462.0,166.07191467285156,-297.5180358886719,-358.32830810546875,354.184814453125
10700,-727.886962890625,-953.6416625976562,555.0,166.1429443359375,-319.0364685058594,-388.0939636230469,364.2255554199219
10800,-282.8393859863281,-269.8970642089844,481.0,166.1429443359375,-317.22662353515625,-382.1841125488281,370.0643005371094
10900,-716.3602294921875,-919.6907348632812,521.0,166.16458129882812,-337.18328857421875,-409.0594482421875,377.611083984375
11000,-370.2333679199219,-424.3172302246094,330.0,166.16458129882812,-326.78802490234375,-395.2595520019531,366.03399658203125
11100,-263.2269592285156,-256.8892517089844,468.0,166.16458129882812,-323.6099853515625,-388.3410339355469,371.1322937011719
11200,-59.33153533935547,-51.743404388427734,133.0,166.17120361328125,-286.94696044921875,-342.03546142578125,338.1424255371094
11300,-541.7033081054688,-632.8772583007812,463.0,166.17120361328125,-299.6847839355469,-356.5775451660156,344.38531494140625
11400,-173.5308074951172,-178.4591522216797,220.0,166.17120361328125,-280.5333557128906,-331.6686096191406,327.7452392578125
11500,-110.93659210205078,-56.915340423583984,392.0,166.17120361328125,-272.1528015136719,-316.20184326171875,329.1175842285156
11600,-485.0054931640625,-618.0966796875,428.0,166.17120361328125,-282.7954406738281,-331.29656982421875,334.06170654296875
11700,-506.2426452636719,-667.9290161132812,474.0,166.17120361328125,-293.9678039550781,-348.1282043457031,341.0586242675781
11800,-513.734375,-642.97607421875,449.0,166.17120361328125,-304.95611572265625,-362.87060546875,346.4556884765625
11900,-48.43897247314453,-66.03491973876953,389.0,166.17120361328125,-292.1302795410156,-348.02880859375,348.5828857421875
12000,-299.0617370605469,-317.2993469238281,295.0,166.17120361328125,-292.4768371582031,-346.4923400878906,345.90374755859375
12100,-82.62491607666016,-45.177574157714844,356.0,166.17120361328125,-295.5314636230469,-350.1467590332031,355.96063232421875
12200,-474.2901611328125,-583.9889526367188,434.0,166.17120361328125,-304.4693908691406,-361.8388671875,359.86260986328125
12300,-544.2754516601562,-711.6279296875,518.0,166.17120361328125,-316.4596862792969,-379.32830810546875,367.76947021484375
12400,-307.9623718261719,-333.287353515625,307.0,166.17120361328125,-316.0348205566406,-377.0262756347656,364.7309875488281
12500,-28.607318878173828,-18.700584411621094,124.0,166.17120361328125,-301.28680419921875,-355.1548156738281,359.35723876953125
12600,-261.27789306640625,-272.378173828125,270.0,166.17120361328125,-287.10174560546875,-338.8592529296875,355.014892578125
12700,-105.7445068359375,-101.94324493408203,413.0,166.17120361328125,-278.03387451171875,-327.013427734375,357.9141540527344
12800,-230.9591827392578,-262.8562316894531,486.0,166.17120361328125,-275.6801452636719,-323.8055725097656,364.3184509277344
12900,-265.0271301269531,-273.85626220703125,485.0,166.17120361328125,-275.1474914550781,-321.30810546875,370.3525390625
13000,53.74925231933594,121.80326843261719,293.0,166.17120361328125,-260.6050109863281,-302.1850891113281,364.61566162109375
13100,-494.2198791503906,-659.9022216796875,466.0,166.17120361328125,-272.2857666015625,-320.0709228515625,369.68487548828125
13200,-222.02743530273438,-250.87730407714844,462.0,170.07064819335938,-269.7728576660156,-316.6112365722656,374.3006286621094
13300,-465.6550598144531,-609.0029296875,439.0,170.07064819335938,-279.56695556640625,-331.2308349609375,377.53558349609375
13400,-233.61758422851562,-242.48695373535156,244.0,170.07064819335938,-277.26947021484375,-326.79364013671875,370.85882568359375
13500,-542.3113403320312,-710.7325439453125,517.0,170.07064819335938,-290.5215759277344,-345.9906005859375,378.1658630371094
13600,-546.4027099609375,-661.8773803710938,468.0,193.04417419433594,-303.3156433105469,-361.784912109375,382.6575927734375
13700,-411.2003173828125,-478.9342346191406,397.0,206.29823303222656,-320.9468688964844,-384.4510803222656,389.99346923828125
13800,-138.05465698242188,-134.57489013671875,180.0,206.29823303222656,-311.8022766113281,-371.957275390625,379.4938049316406
13900,184.78970336914062,227.51593017578125,211.0,210.67893981933594,-284.9530944824219,-338.1249084472656,376.8881530761719
14000,-508.9942321777344,-649.0496826171875,455.0,210.67893981933594,-296.1551513671875,-353.671142578125,380.7937316894531
14100,112.32623291015625,158.6177978515625,248.0,212.13995361328125,-269.1539001464844,-318.6448974609375,365.4238586425781
14200,-157.5958251953125,-156.50802612304688,202.0,212.13995361328125,-263.57598876953125,-310.5380554199219,357.2526550292969
14300,16.54582405090332,25.196664810180664,96.0,212.13995361328125,-225.16314697265625,-265.6341552734375,343.00048828125
14400,188.69070434570312,217.6185760498047,225.0,268.2615051269531,-201.91119384765625,-236.909423828125,330.0704650878906
14500,-4.632418632507324,36.720680236816406,314.0,287.2945251464844,-182.88815307617188,-212.31982421875,329.2160949707031
