step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
12800,-100.82364654541016,-95.57781982421875,173.0,171.553955078125,-252.92071533203125,-299.85589599609375,353.9022216796875
12900,-578.073974609375,-737.5371704101562,544.0,171.553955078125,-269.1783752441406,-321.7399597167969,363.4071044921875
13000,-315.1609191894531,-349.4120178222656,295.0,171.553955078125,-271.4775085449219,-323.1235656738281,359.98675537109375
13100,-488.72149658203125,-619.1305541992188,425.0,171.5572509765625,-282.3396911621094,-337.9239196777344,363.2374267578125
13200,-148.18026733398438,-147.96218872070312,411.0,171.5572509765625,-275.6317443847656,-328.42584228515625,365.62554931640625
13300,-552.9583129882812,-673.9469604492188,480.0,171.5572509765625,-289.498046875,-345.701904296875,371.3442687988281
13400,185.2088623046875,234.468017578125,196.0,171.558349609375,-277.8614501953125,-330.676513671875,366.1231994628906
13500,-121.40919494628906,-208.11468505859375,419.0,171.558349609375,-270.038818359375,-324.5484313964844,368.7670593261719
13600,53.159751892089844,87.56202697753906,279.0,171.558349609375,-253.87889099121094,-303.9429016113281,364.2786865234375
13700,42.00510025024414,75.64083099365234,290.0,171.55873107910156,-253.9012908935547,-304.47576904296875,368.009033203125
13800,-567.04052734375,-693.754638671875,500.0,171.55873107910156,-269.5582580566406,-323.939697265625,374.60858154296875
13900,-201.9654541015625,-201.8353271484375,461.0,171.55873107910156,-266.1786193847656,-317.83447265625,378.9281311035156
14000,-721.8117065429688,-920.7733764648438,522.0,171.55885314941406,-288.96026611328125,-347.9814147949219,386.08172607421875
14100,-121.19843292236328,-114.5618667602539,176.0,207.59097290039062,-278.3516540527344,-332.8547058105469,370.5862731933594
14200,-503.9150695800781,-641.9461059570312,448.0,207.59097290039062,-289.6298522949219,-348.30926513671875,374.4569396972656
14300,100.2093505859375,107.1835708618164,58.0,224.1747283935547,-271.85491943359375,-325.3924560546875,354.6698913574219
14400,111.33479309082031,117.08980560302734,40.0,224.1747283935547,-250.46009826660156,-302.3319091796875,346.6470947265625
14500,79.97554016113281,87.11979675292969,62.0,240.06752014160156,-233.64004516601562,-280.83978271484375,338.3215026855469
14600,-116.1008071899414,-151.09979248046875,394.0,240.06752014160156,-227.76309204101562,-274.352783203125,341.10540771484375
14700,-162.68043518066406,-207.10670471191406,418.0,240.06752014160156,-224.5089569091797,-270.990478515625,344.95013427734375
14800,57.31434631347656,125.67469024658203,273.0,240.06752014160156,-210.13589477539062,-250.15553283691406,346.8650207519531
14900,-280.8255920410156,-326.5789794921875,538.0,251.60194396972656,-213.67037963867188,-253.97669982910156,356.4217529296875
15000,134.52499389648438,139.0608673095703,30.0,262.2174377441406,-174.42063903808594,-207.98406982421875,316.2047424316406
15100,-81.96985626220703,-108.1726303100586,378.0,262.2174377441406,-169.79811096191406,-202.99349975585938,319.29449462890625
15200,-289.3017883300781,-340.330322265625,290.0,265.93121337890625,-189.93780517578125,-225.77671813964844,320.9032897949219
15300,227.86439514160156,281.5428771972656,197.0,265.93121337890625,-169.04769897460938,-200.41073608398438,314.7081298828125
15400,60.819950103759766,68.16966247558594,73.0,265.93121337890625,-169.74497985839844,-202.4127960205078,302.2032470703125
15500,186.52371215820312,225.40826416015625,193.0,267.71099853515625,-143.3665313720703,-169.59690856933594,283.0323791503906
15600,113.1494369506836,118.09581756591797,43.0,298.3304748535156,-132.11593627929688,-154.752685546875,277.44171142578125
