step,init_q,running_discounted_reward,running_reward,running_time
13100,638.6734619140625,-1127.79833984375,-1211.02880859375,155.2288818359375
13200,638.6734619140625,-1157.8843994140625,-1245.7537841796875,157.9765625
13300,638.6212158203125,-1139.115478515625,-1223.454345703125,156.52772521972656
13400,638.6212158203125,-1116.899658203125,-1198.7667236328125,155.40135192871094
13500,638.614013671875,-1140.2685546875,-1225.001708984375,158.02471923828125
13600,638.6134033203125,-1063.68359375,-1140.233642578125,152.38980102539062
13700,638.0624389648438,-1108.1278076171875,-1188.952880859375,154.6203155517578
13800,638.0624389648438,-1094.7528076171875,-1172.9891357421875,154.38929748535156
13900,638.0018310546875,-1062.7938232421875,-1136.8289794921875,152.21983337402344
14000,638.0018310546875,-1104.6956787109375,-1185.2174072265625,154.7588348388672
14100,638.2062377929688,-1141.64892578125,-1227.4365234375,157.4208984375
14200,638.4888916015625,-1169.4779052734375,-1257.6553955078125,158.94236755371094
14300,638.5021362304688,-1118.107177734375,-1201.51318359375,155.5452423095703
14400,638.5025024414062,-1153.0985107421875,-1242.41650390625,158.06797790527344
14500,638.5026245117188,-1190.1177978515625,-1284.52490234375,160.3145751953125
14600,638.502685546875,-1111.3800048828125,-1196.638427734375,154.74391174316406
14700,638.502685546875,-1111.933837890625,-1196.0400390625,155.40670776367188
14800,638.502685546875,-1145.498291015625,-1236.2177734375,157.93638610839844
14900,640.9749755859375,-1101.2008056640625,-1185.5830078125,156.33258056640625
15000,641.4923706054688,-1058.5860595703125,-1135.625,154.03765869140625
15100,641.4923706054688,-1008.4060668945312,-1080.58642578125,150.13577270507812
15200,641.9793090820312,-945.895751953125,-1010.7725219726562,145.8650360107422
15300,642.034423828125,-963.5554809570312,-1032.6217041015625,145.26319885253906
15400,642.0413818359375,-981.3402709960938,-1050.4725341796875,147.30003356933594
15500,642.3651123046875,-960.3831176757812,-1025.6898193359375,145.2850341796875
15600,642.472900390625,-969.6156005859375,-1034.13916015625,146.32078552246094
15700,643.1367797851562,-985.3638305664062,-1052.445556640625,147.2220001220703
15800,643.1367797851562,-996.3405151367188,-1064.055908203125,149.06089782714844
15900,643.1367797851562,-957.6834106445312,-1021.0950317382812,146.0078582763672
16000,643.3163452148438,-966.9994506835938,-1030.773681640625,147.50746154785156
16100,643.6884155273438,-919.1924438476562,-980.4602661132812,143.30621337890625
16200,643.7023315429688,-912.8026123046875,-971.9244995117188,143.24090576171875
16300,643.9544067382812,-851.78076171875,-905.0191650390625,138.6774139404297
16400,643.9973754882812,-854.2197875976562,-911.3025512695312,138.24136352539062
16500,644.0111694335938,-794.947509765625,-845.8345336914062,133.8328399658203
16600,644.0155029296875,-664.4241943359375,-705.6099243164062,123.7115478515625
16700,644.0155029296875,-633.1605224609375,-671.5748291015625,120.4759750366211
16800,644.0203857421875,-639.5208129882812,-677.7197875976562,122.24706268310547
16900,644.033203125,-636.4780883789062,-673.821044921875,122.6847152709961
17000,644.0352783203125,-583.9927368164062,-615.72607421875,119.2364273071289
17100,644.0364990234375,-578.7940673828125,-609.6776733398438,119.42460632324219
17200,644.037109375,-604.4915161132812,-637.131103515625,122.27320861816406
17300,644.0372314453125,-571.665771484375,-600.6548461914062,120.5740737915039
17400,644.0372314453125,-552.3782348632812,-578.9464721679688,119.1355972290039
17500,644.0372924804688,-549.7721557617188,-575.2392578125,118.87882232666016
17600,644.0372924804688,-510.1355895996094,-532.0183715820312,115.06785583496094
17700,644.0372924804688,-526.22998046875,-548.1488037109375,117.61446380615234
17800,644.0372924804688,-594.6446533203125,-625.4732666015625,121.38373565673828
17900,644.037353515625,-510.1881103515625,-534.373046875,114.03163146972656
18000,644.037353515625,-454.2339172363281,-474.3866271972656,108.883544921875
18100,644.037353515625,-477.26849365234375,-495.91595458984375,113.11489868164062
18200,644.037353515625,-467.1619873046875,-482.82147216796875,112.21369934082031
18300,644.037353515625,-466.3970031738281,-480.9195251464844,112.35301208496094
18400,644.037353515625,-496.31988525390625,-512.408203125,114.17859649658203
18500,644.037353515625,-464.55364990234375,-478.0582580566406,111.39368438720703
18600,644.037353515625,-472.4516906738281,-486.1440734863281,112.2239990234375
18700,644.0372924804688,-483.3345031738281,-498.0737609863281,113.61280059814453
18800,642.8184814453125,-501.7492980957031,-522.3118286132812,114.0302734375
18900,642.7760620117188,-522.359375,-544.4291381835938,116.5787582397461
19000,642.2986450195312,-528.2312622070312,-548.14990234375,117.46733093261719
19100,642.3679809570312,-470.5539245605469,-486.8670959472656,112.98676300048828
19200,642.3229370117188,-479.1960144042969,-495.3764343261719,113.08055877685547
19300,642.2877197265625,-486.8760070800781,-502.84698486328125,113.47652435302734
19400,642.6524047851562,-518.0213623046875,-535.1096801757812,115.55006408691406
19500,643.2181396484375,-493.884765625,-507.845458984375,113.24893188476562
