step,init_q,running_discounted_reward,running_reward,running_time
12000,633.0580444335938,-1101.0574951171875,-1178.2103271484375,125.42668151855469
12100,633.0580444335938,-1021.5713500976562,-1091.690185546875,120.36558532714844
12200,633.0580444335938,-1067.2794189453125,-1143.7880859375,123.9873046875
12300,633.0580444335938,-1087.1395263671875,-1165.1348876953125,126.29793548583984
12400,633.0580444335938,-1087.423828125,-1163.9674072265625,126.80303955078125
12500,633.0580444335938,-1141.2518310546875,-1224.555419921875,129.32289123535156
12600,633.0580444335938,-1106.4039306640625,-1184.018798828125,128.4394073486328
12700,633.0580444335938,-1158.7572021484375,-1242.6038818359375,131.0774383544922
12800,633.0580444335938,-1115.81884765625,-1192.2760009765625,129.00338745117188
12900,633.0580444335938,-1183.1409912109375,-1267.5460205078125,131.93321228027344
13000,633.0580444335938,-1232.6072998046875,-1322.3555908203125,134.07655334472656
13100,633.0580444335938,-1295.708740234375,-1391.925537109375,135.91273498535156
13200,633.0580444335938,-1238.9871826171875,-1330.0738525390625,132.5670928955078
13300,632.9724731445312,-1289.9935302734375,-1384.9593505859375,134.31874084472656
13400,632.9724731445312,-1289.4501953125,-1383.4974365234375,135.71279907226562
13500,632.7733764648438,-1252.401123046875,-1341.280517578125,133.38380432128906
13600,632.7677001953125,-1295.89111328125,-1390.5009765625,135.87461853027344
13700,632.8593139648438,-1260.5732421875,-1349.068603515625,134.37384033203125
13800,632.8937377929688,-1302.2628173828125,-1396.751708984375,136.38514709472656
13900,632.8964233398438,-1323.6385498046875,-1419.2027587890625,137.92588806152344
14000,632.91748046875,-1321.0076904296875,-1414.879638671875,139.0095977783203
14100,632.9295654296875,-1230.1536865234375,-1314.801025390625,132.71266174316406
14200,632.993896484375,-1233.499755859375,-1317.5006103515625,133.31703186035156
14300,633.0250854492188,-1245.08056640625,-1328.7164306640625,133.77117919921875
14400,633.0396118164062,-1226.52978515625,-1312.1588134765625,132.14549255371094
14500,633.0564575195312,-996.838134765625,-1064.2001953125,118.08099365234375
14600,633.0565795898438,-1050.9881591796875,-1124.474365234375,121.57694244384766
14700,633.057373046875,-1107.0040283203125,-1186.536376953125,124.65809631347656
14800,633.057373046875,-1049.69189453125,-1123.1129150390625,121.45193481445312
14900,633.0579833984375,-938.9306640625,-1004.1958618164062,114.01387023925781
15000,633.0580444335938,-940.5142822265625,-1004.3265380859375,114.4831771850586
15100,633.0580444335938,-980.0723266601562,-1044.815185546875,118.37556457519531
15200,633.0580444335938,-922.1317749023438,-980.192626953125,114.49545288085938
15300,633.0580444335938,-883.9931640625,-938.9791259765625,111.68067932128906
15400,633.0580444335938,-916.2461547851562,-974.9087524414062,112.55631256103516
15500,633.0580444335938,-883.8148193359375,-937.6639404296875,110.0135726928711
15600,633.0580444335938,-858.64111328125,-909.77294921875,108.91289520263672
15700,633.0580444335938,-903.9019775390625,-958.6502685546875,110.66838836669922
15800,633.0580444335938,-931.5621948242188,-991.684814453125,111.70272064208984
15900,633.0580444335938,-881.4615478515625,-935.3043823242188,108.46570587158203
16000,633.0580444335938,-843.1759033203125,-894.0344848632812,106.14241790771484
16100,633.0580444335938,-876.9319458007812,-932.468017578125,108.9735336303711
16200,633.0580444335938,-826.9957275390625,-877.0861206054688,106.0726089477539
16300,633.0580444335938,-751.8677978515625,-794.0447387695312,100.9466323852539
16400,633.0580444335938,-826.2430419921875,-876.2813720703125,104.38929748535156
16500,633.0580444335938,-814.3754272460938,-862.5610961914062,103.48983764648438
16600,633.0580444335938,-768.3446044921875,-810.582275390625,101.00709533691406
16700,633.0580444335938,-704.0489501953125,-742.2719116210938,97.22490692138672
16800,633.0580444335938,-689.80615234375,-725.0728149414062,96.03697967529297
16900,633.0580444335938,-632.7626342773438,-662.7133178710938,92.30937957763672
17000,633.0580444335938,-606.3603515625,-634.3236694335938,90.64390563964844
17100,633.0580444335938,-601.92724609375,-629.0277099609375,90.5061264038086
17200,633.0580444335938,-626.1968383789062,-653.1851806640625,92.91278076171875
17300,633.0580444335938,-632.8732299804688,-658.724609375,93.75678253173828
17400,633.0580444335938,-632.1732788085938,-655.6232299804688,93.28250122070312
17500,633.0580444335938,-712.8132934570312,-743.7295532226562,97.29837036132812
17600,633.0580444335938,-681.77978515625,-711.0067138671875,95.6247787475586
17700,633.0580444335938,-702.5125122070312,-732.5471801757812,97.31354522705078
17800,633.0580444335938,-649.7615356445312,-674.9867553710938,93.62447357177734
17900,633.0580444335938,-623.4827880859375,-647.1340942382812,91.77324676513672
18000,633.0580444335938,-675.8701171875,-702.238037109375,96.1568603515625
18100,633.0580444335938,-572.68408203125,-593.6329345703125,89.74275970458984
18200,633.0580444335938,-566.7011108398438,-586.2762451171875,88.85433959960938
18300,633.0580444335938,-544.7908325195312,-562.5568237304688,87.98162841796875
18400,633.0580444335938,-623.00634765625,-649.56591796875,92.31254577636719
18500,633.0580444335938,-673.5899047851562,-703.7427368164062,96.6730728149414
18600,633.0580444335938,-658.6859741210938,-687.2990112304688,95.93941497802734
18700,633.0580444335938,-685.3518676757812,-716.2168579101562,97.6593246459961
18800,633.0580444335938,-735.9485473632812,-771.8453369140625,100.07804107666016
18900,633.0580444335938,-647.3071899414062,-677.4032592773438,93.99393463134766
19000,633.0580444335938,-604.663330078125,-631.4066772460938,91.52652740478516
19100,633.0580444335938,-609.2001342773438,-635.9813232421875,91.42218780517578
19200,633.0580444335938,-630.6289672851562,-656.973876953125,92.76107788085938
19300,633.0580444335938,-662.0723266601562,-689.5938110351562,95.47787475585938
19400,633.0580444335938,-629.4450073242188,-654.4301147460938,93.48528289794922
19500,633.0580444335938,-631.8330078125,-655.2908935546875,93.3189697265625
19600,633.0580444335938,-621.1636962890625,-644.205810546875,92.5013656616211
19700,633.0580444335938,-562.7473754882812,-582.5838012695312,89.25448608398438
19800,633.0580444335938,-519.6050415039062,-535.5912475585938,86.01473999023438
19900,633.0580444335938,-527.085693359375,-542.4114379882812,87.11180114746094
20000,633.0580444335938,-607.49267578125,-632.57666015625,91.7162094116211
20100,633.0580444335938,-628.013916015625,-653.742431640625,92.1404037475586
20200,633.0580444335938,-634.866943359375,-660.55419921875,92.51971435546875
20300,633.0580444335938,-575.6319580078125,-597.0986328125,88.35091400146484
20400,633.0580444335938,-498.2239990234375,-515.3507080078125,82.84486389160156
20500,633.0580444335938,-477.6940002441406,-492.5135498046875,81.76898956298828
20600,633.0580444335938,-466.4103698730469,-479.0494384765625,81.50501251220703
20700,633.0580444335938,-459.6750793457031,-470.96795654296875,81.16327667236328
20800,633.0580444335938,-467.0469665527344,-477.4342041015625,80.99885559082031
20900,633.0580444335938,-530.0980224609375,-548.7628784179688,84.2554702758789
21000,633.0580444335938,-502.3240051269531,-518.5930786132812,82.89205932617188
21100,633.0580444335938,-526.177490234375,-543.4057006835938,84.73808288574219
21200,633.0580444335938,-547.520263671875,-564.6288452148438,85.8311767578125
21300,633.0580444335938,-556.5042114257812,-574.56640625,87.70114135742188
21400,633.0580444335938,-478.8175964355469,-493.17266845703125,83.09811401367188
21500,633.0580444335938,-448.4374084472656,-460.7627868652344,80.94004821777344
21600,633.0580444335938,-420.8929138183594,-431.74957275390625,79.08489227294922
21700,633.0580444335938,-397.683349609375,-407.8377990722656,77.46881103515625
21800,633.0580444335938,-318.5628356933594,-325.4179992675781,71.62434387207031
21900,633.0580444335938,-301.9140625,-308.0701904296875,70.26347351074219
22000,633.0580444335938,-311.747314453125,-317.1908874511719,71.5138168334961
22100,633.0580444335938,-277.3300476074219,-281.1139831542969,69.17971801757812
22200,633.0580444335938,-257.25433349609375,-258.8889465332031,66.8695297241211
22300,633.0580444335938,-300.8987731933594,-304.0374755859375,69.39605712890625
22400,633.0580444335938,-264.9078674316406,-266.2885437011719,67.57899475097656
22500,633.0580444335938,-242.36849975585938,-242.45510864257812,66.25753784179688
22600,633.0580444335938,-292.1333312988281,-294.89813232421875,69.69442749023438
22700,633.0580444335938,-350.6804504394531,-362.8701477050781,72.26172637939453
22800,633.0580444335938,-351.10699462890625,-363.2537536621094,72.02820587158203
22900,633.0580444335938,-376.2405700683594,-387.53106689453125,74.126953125
23000,633.0580444335938,-389.6758117675781,-400.2672119140625,75.34357452392578
23100,633.0580444335938,-368.8774108886719,-377.96405029296875,74.36907958984375
23200,633.0580444335938,-392.8353271484375,-401.6772766113281,76.03108978271484
23300,633.0580444335938,-396.4105224609375,-404.5185241699219,76.0860595703125
23400,633.0580444335938,-383.4758605957031,-391.09307861328125,76.00741577148438
23500,633.0580444335938,-401.0652770996094,-408.9110107421875,78.09969329833984
23600,633.0580444335938,-430.4335632324219,-440.3559875488281,80.4247055053711
23700,633.0580444335938,-408.67596435546875,-416.6897888183594,78.29329681396484
23800,633.0580444335938,-415.4488525390625,-423.5485534667969,78.34654235839844
23900,633.0580444335938,-371.472900390625,-377.64508056640625,74.84001159667969
24000,633.0580444335938,-325.53826904296875,-329.0260925292969,71.7904052734375
24100,633.0580444335938,-296.4981384277344,-298.714111328125,69.8233413696289
24200,633.0580444335938,-307.0814208984375,-309.0951232910156,70.36241149902344
24300,633.0580444335938,-327.3282470703125,-329.88232421875,71.94429016113281
24400,633.0580444335938,-333.2496643066406,-335.1067199707031,72.46263885498047
24500,633.0580444335938,-300.2283935546875,-301.21173095703125,69.21400451660156
24600,633.0580444335938,-367.6222839355469,-373.7394104003906,74.02330780029297
24700,633.0580444335938,-356.4945068359375,-361.7080078125,73.47453308105469
24800,633.0580444335938,-351.7177429199219,-356.1391296386719,73.20476531982422
24900,633.0580444335938,-420.7225036621094,-432.9006042480469,76.76229858398438
25000,633.0580444335938,-361.7664489746094,-370.90692138671875,72.76115417480469
25100,633.0580444335938,-371.11474609375,-379.21942138671875,73.16143798828125
25200,633.0580444335938,-332.06060791015625,-337.4135437011719,70.43746185302734
25300,633.0580444335938,-309.5467224121094,-312.95068359375,69.29744720458984
25400,633.0580444335938,-243.47491455078125,-244.9064483642578,65.45257568359375
25500,633.0580444335938,-213.2268829345703,-213.1732635498047,63.289100646972656
25600,633.0580444335938,-219.65359497070312,-219.73585510253906,63.32206726074219
25700,633.0580444335938,-206.2129669189453,-204.797607421875,61.88948059082031
25800,633.0580444335938,-214.92295837402344,-213.11424255371094,62.39375686645508
25900,633.0580444335938,-219.3203887939453,-217.7356719970703,61.63636779785156
26000,633.0580444335938,-183.723876953125,-180.476806640625,60.210205078125
26100,633.0580444335938,-153.6414337158203,-149.3588104248047,57.47442626953125
26200,633.0580444335938,-118.72661590576172,-113.22029113769531,55.46356201171875
26300,633.0580444335938,-137.37942504882812,-132.11770629882812,56.6623649597168
26400,633.0580444335938,-109.29012298583984,-103.39456176757812,54.87702941894531
26500,633.0580444335938,-160.92022705078125,-157.86447143554688,58.96317672729492
26600,633.0580444335938,-172.80160522460938,-169.78623962402344,60.03005599975586
26700,633.0580444335938,-199.24188232421875,-196.57493591308594,61.049625396728516
26800,633.0580444335938,-154.14169311523438,-150.5343780517578,57.561195373535156
26900,633.0580444335938,-160.6573486328125,-156.6359405517578,58.57560729980469
27000,633.0580444335938,-152.23214721679688,-147.43482971191406,57.74833679199219
27100,633.0580444335938,-85.25704193115234,-79.12909698486328,53.70904541015625
27200,633.0580444335938,-62.85639572143555,-56.03013229370117,52.56879425048828
27300,633.0580444335938,-123.21784210205078,-119.09593963623047,56.32133483886719
27400,633.0580444335938,-55.0899543762207,-50.11024475097656,52.01411056518555
